cityId,searchRadius,formations_mIndex
659,30000,0
757530,20000,0
638,20000,0
644,30000,6
262,50000,0
345009,20000,0
35,20000,3
900,50000,0
491,20000,4
709,20000,0
25,20000,8
839,20000,8
238,20000,4
392,20000,0
30,20000,15
188,50000,156
1607,20000,0
2545,20000,0
1783,20000,0
1610,20000,0
1892,20000,0
1960,50000,0
1680,20000,12
1170,20000,0
1932,20000,4
1474,50000,4
132626,20000,3
132523,20000,3
132534,20000,0
132500,20000,0
132484,20000,0
132482,20000,0
132389,20000,0
1767,20000,0
1908,20000,0
1515,20000,3
1022,20000,0
1531,20000,0
1491876,20000,0
1119,20000,0
1964,20000,0
1244,30000,0
1451,20000,0
1552,20000,0
1073,20000,3
1718,20000,0
1466,30000,0
1144,30000,3
1619,20000,0
1598,20000,0
1963,20000,0
1400,20000,0
132315,30000,0
132320,20000,0
132651,20000,0
132330,20000,0
132294,20000,0
132283,20000,0
132679,20000,0
132290,20000,0
132275,30000,0
132690,20000,0
132674,20000,0
132267,20000,0
132245,50000,0
132263,30000,0
132260,20000,0
132236,30000,0
132681,20000,0
132258,30000,0
132254,20000,0
132238,20000,0
132461,20000,0
132221,30000,0
132200,20000,0
132208,20000,0
132669,20000,0
132375,20000,0
132195,20000,4
132188,20000,0
132191,20000,0
132183,20000,0
1187,20000,0
1444,20000,0
1488,20000,0
1549,20000,0
1236,20000,4
1494,50000,0
1308,20000,0
1910,30000,0
2200,20000,13
1793,20000,3
1642,20000,0
1866,20000,3
1048,20000,0
1159,20000,0
1197476,20000,0
1108,30000,0
1878,20000,0
1787,20000,0
1409,20000,0
1887,20000,0
1066,20000,0
1500,20000,0
1398,20000,7
1052,20000,0
2502,20000,0
1743,20000,0
4140,20000,110
4770,20000,215
3100,20000,159
3750,20000,91
132781,20000,91
3158,20000,236
132768,20000,14
3676,20000,33
1996,20000,140
132737,20000,140
2534,50000,339
4299,50000,37
5657,20000,0
5499,50000,21
133157,20000,0
5042,20000,64
4282,20000,0
5893,20000,0
5493,30000,14
5345,20000,11
133205,20000,0
4034,20000,0
5000,20000,17
4970,50000,21
4383,20000,0
132856,20000,0
4835,50000,67
132927,20000,6
4935,50000,6
133094,20000,0
4226,20000,10
5276,20000,17
6801,50000,6
6504,20000,0
133381,20000,0
6136,20000,0
133384,20000,0
6777,20000,0
6588,20000,0
6602,20000,0
6619,20000,9
133416,20000,0
6389,20000,3
6264,30000,35
6680,20000,3
6694,20000,3
133464,20000,0
6599,20000,0
6737,20000,0
133512,20000,0
133510,50000,0
133523,50000,0
133471,20000,0
133491,20000,0
6903,20000,0
133468,50000,0
133499,20000,0
6132,20000,0
133522,20000,0
6946,20000,0
133504,20000,0
6090,20000,0
133517,20000,0
133486,50000,0
133463,20000,0
133470,20000,0
133494,20000,0
6790,20000,0
133501,20000,0
6103,20000,0
6776,20000,0
133500,20000,0
6282,20000,0
6836,20000,0
6752,20000,0
133465,30000,0
133505,20000,0
6846,30000,0
6190,20000,0
133487,20000,0
133492,20000,0
6827,20000,0
6199,20000,0
133524,20000,0
6095,20000,0
133472,20000,0
6693,20000,0
133466,20000,0
6606,20000,0
6133,20000,0
7296,20000,3
7584,30000,3
6971,20000,0
7918,50000,10
7213,20000,6
7479,20000,4
6766,20000,3
6407,20000,0
6470,20000,0
7148,20000,3
6989,20000,0
7915,20000,0
7466,20000,3
7448,50000,112
7088,20000,0
6959,30000,0
7322,20000,3
7342,20000,0
7686,30000,39
7555,30000,71
7039,20000,0
7538,20000,3
7726,20000,74
7698,20000,42
7558,20000,0
7032,50000,0
7666,20000,21
7066,20000,0
7476,20000,0
8893,20000,0
134362,20000,0
9794,20000,0
8151,20000,0
138592,20000,7
134357,20000,0
135033,30000,0
9388,20000,0
9034,20000,0
9377,30000,0
137645,20000,0
136088,30000,0
9393,20000,0
134985,20000,0
134283,20000,0
9857,20000,0
9537,20000,0
9050,20000,0
9485,20000,0
9761,20000,0
9480,20000,0
137931,20000,0
9906,20000,0
9899,20000,0
138392,20000,3
134397,20000,0
8466,20000,0
9773,20000,0
9913,20000,0
136663,20000,0
134658,20000,0
8965,20000,0
9459,20000,0
9920,20000,0
9685,20000,0
9311,20000,4
8971,20000,0
9205,20000,201
9672,50000,12
8542,50000,0
134992,20000,0
9396,20000,0
9173,20000,0
9499,20000,3
9043,20000,0
9346,20000,0
134273,20000,0
9011,20000,0
9784,50000,3
9909,20000,0
8228,20000,0
8996,20000,0
136165,20000,0
9438,20000,10
9472,20000,3
135709,20000,0
9513,20000,0
138424,20000,0
134510,20000,0
8321,20000,0
9717,50000,3
9783,30000,0
9610,20000,0
9088,20000,0
9083,20000,3
9775,20000,0
137536,20000,4
136573,20000,7
135412,20000,0
9710,20000,0
134267,20000,0
9916,20000,0
8765,20000,3
8660,20000,0
9113,20000,0
9461,20000,0
8840,20000,0
9126,20000,0
137839,20000,0
9153,20000,0
9597,30000,3
9825,20000,0
9748,20000,0
9241,20000,0
134265,20000,0
8983,20000,0
9865,20000,4
138574,30000,0
9706,50000,10
9418,20000,0
9680,20000,0
9312,20000,0
9709,30000,570
9124,20000,0
1192625,20000,0
9313,20000,0
9749,30000,0
137637,20000,0
9096,20000,7
9864,20000,0
8878,50000,3
9496,20000,0
9111,20000,0
138065,20000,0
138080,20000,4
7993,20000,0
9290,50000,0
9413,20000,6
9614,20000,4
9033,20000,0
9521,20000,0
9467,20000,0
9267,20000,4
9334,50000,11
9868,20000,20
9852,20000,0
9381,20000,3
8494,20000,0
9207,20000,0
8819,20000,0
9016,20000,0
9618,20000,0
9249,20000,0
9320,20000,0
9199,20000,0
9532,20000,42
9038,20000,0
9707,20000,0
9543,20000,0
9744,20000,0
8720,20000,0
137904,20000,4
9507,20000,3
9352,20000,0
8464,30000,6
136194,30000,6
9641,20000,0
138339,20000,4
9879,20000,0
9379,20000,0
9856,20000,0
9645,20000,0
134718,20000,0
9402,30000,3
8823,30000,0
136167,20000,0
8602,20000,0
9125,20000,0
9136,20000,0
9300,20000,0
9814,20000,0
9085,20000,0
9177,20000,0
9071,30000,0
9065,20000,0
8869,20000,0
9604,20000,0
8242,50000,0
137109,20000,27
135159,50000,0
8912,20000,0
8256,20000,3
134225,20000,3
137276,20000,0
9039,20000,0
135130,20000,0
9465,20000,0
137505,20000,0
135395,20000,291
8153,20000,0
138059,20000,4
137103,20000,0
8595,20000,0
8879,20000,0
135514,30000,0
137823,20000,411
138066,20000,240
8677,20000,0
8489,20000,7
8140,50000,547
8258,20000,0
8362,20000,0
8638,30000,4
8078,20000,0
8485,20000,15
9557,20000,0
8374,20000,0
134497,20000,0
8402,20000,0
135633,20000,0
134419,20000,0
8585,20000,0
8384,20000,0
8322,20000,3
8375,20000,0
8872,20000,0
139581,20000,0
134935,20000,0
8904,20000,0
7734,20000,0
137809,20000,16
8139,20000,0
9463,20000,0
139646,20000,12
9882,20000,0
8241,20000,0
8846,50000,30
8054,20000,0
135205,20000,0
8666,20000,0
138338,20000,4
137163,20000,0
7969,20000,4
8452,20000,0
8427,20000,78
7823,50000,6
8398,20000,0
137964,20000,0
8173,30000,0
8780,20000,0
9217,20000,0
8476,20000,0
134302,20000,0
139726,20000,0
8219,20000,0
137508,50000,672
8876,20000,0
136709,20000,3
8640,20000,0
8353,50000,0
8936,20000,0
8514,20000,0
8111,20000,0
8772,20000,0
134766,20000,0
8483,20000,4
7401,20000,0
138067,30000,0
8516,20000,0
1576201,20000,4
8395,20000,4
139092,20000,4
137401,20000,4
8032,20000,0
8946,20000,0
9116,20000,0
134194,20000,0
8458,30000,6
8433,20000,0
7984,20000,4
8271,30000,0
138123,20000,0
8407,20000,0
134298,20000,0
8627,50000,496
8791,20000,0
7215,20000,0
7943,20000,0
8552,30000,0
8928,20000,0
8599,20000,380
8130,20000,0
7776,20000,0
7074,50000,0
8668,50000,11
134297,20000,4
8849,20000,0
8663,20000,0
8122,20000,0
136865,20000,0
134818,30000,0
137885,20000,3
137110,20000,0
135047,20000,0
8363,20000,0
8316,20000,0
138493,20000,0
136800,20000,0
137326,30000,0
8183,20000,0
8796,20000,0
138992,20000,0
8339,20000,0
139705,20000,0
8359,20000,0
8855,20000,9
8828,20000,17
8594,20000,17
136969,20000,0
7699,20000,6
8170,20000,0
8881,20000,3
139301,20000,0
8559,20000,0
138932,20000,0
10740,20000,6
10372,20000,0
10733,20000,0
10813,30000,0
10485,20000,3
10806,20000,10
10509,50000,0
10765,20000,0
139987,20000,0
10153,20000,10
10714,20000,0
10552,20000,0
140019,30000,3
11817,20000,4
10232,30000,0
10528,20000,0
10109,20000,0
10180,20000,0
10043,20000,0
10364,20000,0
140036,20000,0
10660,30000,3
1198477,20000,0
10512,20000,4
10683,20000,0
10920,20000,4
11227,20000,0
10050,20000,11
10904,20000,3
10413,20000,11
9941,20000,0
10679,20000,0
10923,20000,0
10869,30000,0
9951,20000,0
140079,50000,15
10641,20000,0
9999,30000,8
10665,20000,0
10980,20000,0
10439,20000,0
10520,30000,0
140117,50000,4
10184,30000,12
10575,20000,0
10422,20000,0
140189,30000,4
9997,20000,3
10270,20000,4
10715,20000,8
10409,20000,0
11325,30000,4
10154,20000,7
10253,20000,0
10290,20000,6
140175,20000,0
10931,30000,0
11521,20000,0
10374,20000,0
10382,20000,4
10908,50000,8
10124,20000,0
10841,30000,21
10655,20000,4
10230,20000,7
10515,30000,4
10132,20000,0
10141,30000,0
140202,50000,4
12250,20000,25
12355,20000,27
11275,20000,14
10996,20000,11
11400,20000,24
11932,20000,71
12067,20000,4
12327,20000,6
12871,20000,0
12598,20000,0
12778,20000,0
12774,20000,16
12262,20000,0
12049,20000,4
12201,20000,0
12583,20000,0
12464,20000,0
12054,20000,24
12309,20000,7
12574,20000,0
12013,20000,37
12465,20000,0
12821,20000,0
12719,20000,0
12515,30000,68
12329,20000,0
12562,20000,0
12292,20000,9
12136,20000,0
12351,20000,18
12508,50000,92
12808,20000,0
12924,20000,16
12442,20000,4
12414,20000,0
12281,20000,15
12836,20000,0
12842,20000,15
15167,30000,0
13382,30000,0
13742,20000,0
15292,20000,0
13332,20000,0
15332,50000,0
14991,50000,0
141290,50000,0
15316,30000,0
15542,50000,0
15148,50000,0
13735,30000,0
141289,30000,0
13445,20000,0
15162,20000,0
141280,50000,0
15009,20000,0
14259,50000,0
15875,20000,0
14384,50000,0
141282,50000,0
15659,20000,0
15066,50000,0
14257,20000,0
15572,50000,0
141336,50000,0
141340,50000,0
15905,20000,0
14873,50000,0
14416,50000,8
15386,20000,0
15399,20000,0
14086,50000,0
15896,50000,0
14442,50000,0
14551,50000,0
14752,30000,0
13952,50000,0
14862,20000,0
14400,50000,0
141277,50000,0
15826,50000,0
13586,50000,0
14017,50000,0
141271,50000,0
15843,50000,0
14076,50000,0
14564,50000,6
14239,30000,0
14572,30000,0
14617,50000,3
15104,50000,0
141334,50000,0
14340,50000,0
14489,30000,0
14747,20000,0
14871,20000,0
15405,30000,4
13136,50000,0
13618,30000,0
13541,20000,0
14209,50000,0
15544,50000,0
14856,50000,4
141342,50000,4
14339,50000,0
15555,20000,0
14251,20000,0
141266,50000,0
15798,50000,0
14403,20000,0
14775,30000,0
13946,50000,14
15259,50000,0
14838,20000,0
15368,20000,0
14460,20000,4
15893,30000,0
15723,50000,3
141327,50000,3
14365,50000,0
15548,20000,0
13333,20000,0
14072,20000,0
14863,50000,0
14680,50000,0
141258,50000,0
14486,50000,0
14750,30000,4
14037,50000,11
14295,50000,0
15527,20000,0
14634,20000,0
14030,30000,0
13916,20000,0
15240,20000,0
14193,20000,0
14106,20000,0
14128,30000,0
14271,50000,0
141253,50000,0
141351,30000,0
14771,20000,0
13057,30000,0
15603,30000,0
14890,50000,12
15404,20000,0
13853,20000,0
15411,50000,0
15604,50000,0
14079,50000,0
141256,50000,0
15681,30000,0
14971,20000,0
14714,50000,4
15522,30000,0
14476,50000,0
141251,50000,0
14601,30000,0
14306,30000,4
14015,30000,0
14124,50000,0
14754,20000,0
15521,20000,0
13483,20000,0
15914,50000,0
15874,20000,0
14653,30000,3
14675,50000,0
14664,50000,12
141250,50000,8
14695,50000,0
14736,50000,3
14401,50000,0
14751,50000,11
141238,50000,11
13296,30000,4
14424,50000,3
14765,30000,0
15864,50000,0
13971,50000,7
14522,20000,0
15919,20000,0
15103,30000,0
14316,20000,0
13980,50000,0
14534,50000,3
13979,50000,3
15197,50000,0
14216,50000,0
141236,50000,0
14802,50000,4
141231,50000,4
14984,50000,0
15129,50000,0
15420,20000,0
14008,50000,0
14110,50000,4
14678,20000,0
13677,50000,0
14636,50000,0
15478,50000,0
14407,20000,0
12937,20000,0
15343,20000,0
13264,50000,0
14471,50000,0
14196,50000,0
14138,50000,0
141223,50000,0
14580,20000,3
15816,50000,0
12997,50000,7
141218,50000,16
14763,50000,0
14724,20000,0
14745,20000,3
14506,50000,0
14265,50000,0
14244,20000,0
14397,30000,0
14741,50000,4
15464,50000,4
141318,50000,0
141313,50000,0
15934,20000,0
14738,50000,3
14980,50000,0
14166,50000,0
14778,50000,7
14304,50000,3
15437,30000,0
14717,20000,0
14379,30000,0
14906,30000,0
14722,50000,10
13939,50000,0
13859,20000,0
14586,20000,0
14623,30000,0
14779,20000,0
13107,50000,0
15348,50000,0
14817,50000,10
14682,20000,0
14552,50000,6
14231,50000,0
141208,50000,0
13796,30000,0
14842,30000,0
14727,20000,0
14799,50000,0
141211,50000,0
14523,50000,0
14133,50000,0
14628,50000,0
13059,50000,19
141209,50000,0
15491,50000,4
15383,20000,0
14918,50000,7
15080,20000,0
13805,30000,0
15768,50000,0
14700,30000,0
14359,50000,0
15053,20000,0
13970,50000,0
14612,30000,0
14746,20000,0
15290,30000,0
14439,20000,0
13110,20000,0
13716,30000,0
13174,30000,0
14463,30000,0
14242,50000,7
13933,50000,9
13632,20000,0
14277,50000,3
13163,30000,0
14493,20000,0
14025,30000,0
14225,50000,0
141199,50000,0
14691,30000,0
14730,50000,6
14170,20000,0
14815,20000,0
14293,20000,0
14362,20000,0
14891,20000,0
13585,30000,8
14718,20000,0
14731,20000,0
14172,50000,0
141201,50000,0
14283,20000,0
14490,50000,0
15834,50000,0
14995,20000,0
14226,30000,0
14737,30000,0
14074,50000,4
141190,50000,3
14482,20000,0
13972,30000,0
14759,20000,0
15775,20000,0
13995,30000,0
13973,20000,0
13947,20000,0
14241,50000,0
14548,50000,0
15902,50000,0
141192,50000,0
15717,20000,0
14618,30000,0
15552,20000,0
141180,50000,0
14874,50000,0
14360,20000,0
14141,30000,0
14078,30000,0
14503,30000,0
14598,50000,0
141179,50000,0
14661,50000,0
14411,20000,0
14835,50000,0
14024,50000,0
141183,50000,3
13994,20000,0
14688,30000,0
14505,20000,0
15807,20000,0
14093,50000,0
141357,50000,0
14662,50000,3
14659,50000,0
15194,20000,0
15106,20000,0
13830,50000,0
15157,20000,0
15192,50000,0
14307,30000,0
13050,20000,0
14836,50000,0
13965,50000,0
14321,20000,0
14481,50000,10
14262,50000,0
14868,50000,0
14347,50000,0
14508,50000,3
15438,20000,0
13945,50000,0
14585,50000,7
15327,20000,0
141029,20000,0
15660,50000,0
141213,50000,0
141305,50000,0
15602,30000,0
15021,50000,0
14343,50000,0
14447,50000,0
14057,50000,3
14632,20000,0
13348,50000,3
13807,50000,0
141272,50000,0
14819,50000,0
13220,20000,0
13181,50000,3
13461,50000,0
13500,30000,0
141028,30000,0
13695,20000,0
14671,20000,0
13761,50000,6
13385,50000,4
14125,30000,0
14253,30000,0
141153,50000,0
13097,50000,0
13643,30000,9
13894,50000,0
13072,50000,0
14351,20000,0
15475,50000,0
13006,50000,7
13022,30000,4
13543,50000,0
13929,50000,3
13753,30000,0
13579,20000,0
13538,50000,0
13951,30000,0
12955,20000,0
13036,50000,0
13661,20000,0
12972,20000,0
13367,50000,6
13679,50000,0
13253,50000,0
15313,20000,0
15045,30000,0
15060,50000,0
13740,50000,3
13583,20000,0
13697,30000,0
13041,20000,0
13791,20000,3
12995,20000,4
13398,20000,0
14334,50000,0
15837,50000,0
141130,50000,436
13902,20000,0
13518,50000,4
141131,50000,4
13699,20000,0
13366,50000,4
13269,30000,0
13899,50000,9
14742,20000,0
15584,50000,0
15424,30000,0
12962,50000,0
15640,50000,0
14240,30000,4
15294,20000,0
15101,50000,0
13683,50000,0
13404,50000,0
13823,30000,0
13010,50000,0
15474,50000,6
141125,50000,0
13158,20000,0
13441,30000,0
15136,30000,0
13801,30000,3
13722,50000,3
13393,50000,0
13887,50000,0
15821,50000,0
12947,50000,9
13754,20000,0
12964,50000,0
141119,50000,0
13789,50000,0
13530,50000,6
15470,20000,0
15922,50000,0
141298,50000,0
13040,20000,0
15248,30000,0
15815,50000,0
13208,50000,0
141117,50000,0
13440,50000,0
15277,20000,0
13285,30000,3
141047,30000,3
15519,20000,0
141046,50000,0
13270,50000,0
13803,30000,0
13700,50000,0
13336,50000,0
13857,50000,3
13427,20000,0
14899,20000,0
15444,20000,0
13638,50000,0
14466,30000,0
13649,50000,0
13004,50000,0
13930,30000,0
14338,50000,0
13653,50000,6
13321,30000,0
13093,50000,0
13808,50000,0
13265,50000,15
13819,50000,0
13539,50000,0
13856,50000,0
141095,50000,0
13080,20000,0
13510,50000,0
13258,50000,0
13160,20000,0
13444,30000,0
15744,20000,0
12978,20000,0
15469,30000,0
13560,50000,0
15363,30000,0
13084,30000,0
13395,30000,0
13684,50000,0
13784,30000,0
15786,30000,0
13216,50000,0
14195,20000,0
13786,50000,0
14325,30000,0
13635,50000,3
14501,30000,0
13614,50000,0
13457,50000,0
12990,20000,0
14472,50000,3
13029,30000,0
13168,50000,3
13694,20000,4
13352,50000,0
15489,20000,0
13478,20000,0
13509,50000,0
14797,30000,0
14394,50000,0
12957,50000,0
13109,50000,3
14994,30000,0
13598,50000,0
14858,30000,0
13687,50000,0
13353,30000,0
13832,50000,0
13223,50000,0
13416,30000,0
13210,30000,0
13631,50000,0
14968,50000,0
13148,20000,0
13015,50000,0
13397,30000,0
13654,50000,0
141294,50000,0
14573,50000,0
141363,50000,0
13229,20000,0
13561,30000,0
13517,50000,0
15730,50000,0
13028,50000,0
13717,50000,0
13211,50000,3
13183,50000,0
15198,50000,0
15116,50000,0
141018,20000,0
14105,50000,0
13257,50000,0
13845,20000,0
13897,50000,0
13242,50000,0
12942,30000,0
14985,20000,0
13241,50000,3
14459,50000,12
15637,50000,3
141295,50000,3
15377,20000,0
13506,50000,0
141068,50000,0
13370,50000,0
13576,30000,0
15043,30000,0
13827,50000,4
13032,50000,0
13167,30000,0
12980,50000,0
13606,50000,9
13553,30000,3
12938,30000,0
15911,50000,0
141054,50000,10
13251,50000,0
13419,50000,0
13580,50000,0
15318,30000,0
13668,30000,0
13592,30000,0
13820,50000,79
13120,20000,0
12989,50000,3
141059,50000,3
13184,50000,0
141058,50000,0
13482,50000,9
13792,50000,0
13642,30000,0
13062,50000,4
15440,30000,0
13772,50000,0
13508,50000,0
16027,20000,0
16176,20000,0
142182,20000,0
16678,20000,0
16757,50000,0
142143,20000,14
15938,50000,12
16532,30000,0
16606,20000,0
142074,50000,4
16524,50000,8
16314,20000,0
142015,20000,0
16835,30000,4
16045,20000,0
16785,20000,0
16380,20000,14
16506,20000,0
141959,20000,0
141945,20000,0
16068,20000,0
16270,20000,0
16238,20000,0
16025,20000,0
16745,20000,4
16210,20000,0
141860,20000,14
16273,20000,14
16653,20000,0
16005,20000,0
16285,20000,0
16721,20000,0
15975,50000,26
16558,20000,0
141737,20000,0
141696,20000,0
141705,20000,8
141698,20000,0
141718,20000,0
16645,20000,0
141608,20000,0
16820,20000,0
141633,20000,4
142449,20000,0
141544,30000,0
15675,20000,0
15656,20000,0
15782,30000,12
15868,20000,0
141464,20000,0
15628,30000,0
15651,20000,0
15369,20000,0
15208,20000,0
15056,20000,0
141441,20000,0
15322,20000,0
141386,30000,0
15722,20000,0
15622,20000,0
17481,20000,7
16495,20000,4
16929,20000,17
16736,20000,13
143100,20000,0
17845,20000,0
17377,20000,4
18689,20000,69
18377,20000,30
18139,20000,143
143411,20000,30
143370,20000,111
17239,20000,4
17574,20000,3
17918,20000,20
17641,50000,250
25305,20000,50
23549,20000,14
25016,20000,4
25912,20000,0
24563,20000,18
24845,50000,167
24171,20000,34
24834,20000,40
25173,20000,47
23962,20000,110
24240,20000,38
24113,20000,11
24034,30000,7
24521,20000,0
24218,20000,74
23999,20000,18
23972,20000,44
24928,30000,55
24144,30000,111
24602,30000,67
24131,30000,31
23668,20000,14
23469,20000,25
23288,20000,8
23664,30000,88
23295,30000,70
23559,20000,55
22984,20000,69
23440,20000,16
23119,20000,54
23858,20000,37
23226,20000,48
23671,20000,27
23563,50000,48
23043,20000,3
25513,20000,7
22993,20000,4
23341,30000,69
23188,20000,21
23866,20000,53
23198,20000,31
22193,20000,46
22716,20000,58
22174,20000,9
22904,20000,36
25716,20000,12
22458,20000,14
22090,20000,111
22868,20000,3
22030,20000,25
22334,20000,12
21948,20000,70
22594,30000,10
22104,20000,12
21572,20000,57
21460,20000,0
21575,20000,30
20962,20000,3
20939,20000,0
23285,20000,4
21601,20000,34
25500,20000,77
21759,20000,39
21313,50000,44
21611,20000,7
21636,20000,28
21331,20000,10
21157,20000,24
21530,20000,66
21915,20000,3
20938,20000,8
21464,30000,42
21866,20000,42
21112,20000,25
20001,20000,3
20843,20000,48
20588,20000,0
20678,20000,7
20929,20000,22
20448,20000,27
20520,20000,76
20802,20000,52
19992,20000,11
19980,20000,56
20310,20000,93
20760,20000,73
20629,20000,0
20878,20000,33
19977,20000,8
20238,20000,74
19562,20000,175
18938,20000,78
25072,20000,28
19546,30000,102
19845,20000,36
19919,20000,7
23473,20000,8
18646,20000,43
18787,20000,4
18346,20000,107
18054,20000,0
26621,20000,0
25261,50000,21
26517,20000,6
143537,20000,6
143516,50000,21
25208,20000,0
