countryCode,languageCode,languageName
AF,pus,Pashto
AF,uzb,Uzbek
AF,tuk,Turkmen
AX,swe,Swedish
AL,sqi,Albanian
DZ,ara,Arabic
AS,eng,English
AS,smo,Samoan
AD,cat,Catalan
AO,por,Portuguese
AI,eng,English
AQ,eng,English
AQ,rus,Russian
AG,eng,English
AR,spa,Spanish
AR,grn,Guaraní
AM,hye,Armenian
AM,rus,Russian
AW,nld,Dutch
AW,pan,(Eastern) Punjabi
AU,eng,English
AT,deu,German
AZ,aze,Azerbaijani
BS,eng,English
BH,ara,Arabic
BD,ben,Bengali
BB,eng,English
BY,bel,Belarusian
BY,rus,Russian
BE,nld,Dutch
BE,fra,French
BE,deu,German
BZ,eng,English
BZ,spa,Spanish
BJ,fra,French
BM,eng,English
BT,dzo,Dzongkha
BO,spa,Spanish
BO,aym,Aymara
BO,que,Quechua
BQ,nld,Dutch
BA,bos,Bosnian
BA,hrv,Croatian
BA,srp,Serbian
BW,eng,English
BW,tsn,Tswana
BV,nor,Norwegian
BV,nob,Norwegian Bokmål
BV,nno,Norwegian Nynorsk
BR,por,Portuguese
IO,eng,English
UM,eng,English
VG,eng,English
VI,eng,English
BN,msa,Malay
BG,bul,Bulgarian
BF,fra,French
BF,ful,Fula
BI,fra,French
BI,run,Kirundi
KH,khm,Khmer
CM,eng,English
CM,fra,French
CA,eng,English
CA,fra,French
CV,por,Portuguese
KY,eng,English
CF,fra,French
CF,sag,Sango
TD,fra,French
TD,ara,Arabic
CL,spa,Spanish
CN,zho,Chinese
CX,eng,English
CC,eng,English
CO,spa,Spanish
KM,ara,Arabic
KM,fra,French
CG,fra,French
CG,lin,Lingala
CD,fra,French
CD,lin,Lingala
CD,kon,Kongo
CD,swa,Swahili
CD,lub,Luba-Katanga
CK,eng,English
CR,spa,Spanish
HR,hrv,Croatian
CU,spa,Spanish
CW,nld,Dutch
CW,pan,(Eastern) Punjabi
CW,eng,English
CY,ell,Greek (modern)
CY,tur,Turkish
CY,hye,Armenian
CZ,ces,Czech
CZ,slk,Slovak
DK,dan,Danish
DJ,fra,French
DJ,ara,Arabic
DM,eng,English
DO,spa,Spanish
EC,spa,Spanish
EG,ara,Arabic
SV,spa,Spanish
GQ,spa,Spanish
GQ,fra,French
ER,tir,Tigrinya
ER,ara,Arabic
ER,eng,English
EE,est,Estonian
ET,amh,Amharic
FK,eng,English
FO,fao,Faroese
FJ,eng,English
FJ,fij,Fijian
FJ,hin,Hindi
FJ,urd,Urdu
FI,fin,Finnish
FI,swe,Swedish
FR,fra,French
GF,fra,French
PF,fra,French
TF,fra,French
GA,fra,French
GM,eng,English
GE,kat,Georgian
DE,deu,German
GH,eng,English
GI,eng,English
GR,ell,Greek (modern)
GL,kal,Kalaallisut
GD,eng,English
GP,fra,French
GU,eng,English
GU,cha,Chamorro
GU,spa,Spanish
GT,spa,Spanish
GG,eng,English
GG,fra,French
GN,fra,French
GN,ful,Fula
GW,por,Portuguese
GY,eng,English
HT,fra,French
HT,hat,Haitian
HM,eng,English
VA,lat,Latin
VA,ita,Italian
VA,fra,French
VA,deu,German
HN,spa,Spanish
HK,eng,English
HK,zho,Chinese
HU,hun,Hungarian
IS,isl,Icelandic
IN,hin,Hindi
IN,eng,English
ID,ind,Indonesian
CI,fra,French
IR,fas,Persian (Farsi)
IQ,ara,Arabic
IQ,kur,Kurdish
IE,gle,Irish
IE,eng,English
IM,eng,English
IM,glv,Manx
IL,heb,Hebrew (modern)
IL,ara,Arabic
IT,ita,Italian
JM,eng,English
JP,jpn,Japanese
JE,eng,English
JE,fra,French
JO,ara,Arabic
KZ,kaz,Kazakh
KZ,rus,Russian
KE,eng,English
KE,swa,Swahili
KI,eng,English
KW,ara,Arabic
KG,kir,Kyrgyz
KG,rus,Russian
LA,lao,Lao
LV,lav,Latvian
LB,ara,Arabic
LB,fra,French
LS,eng,English
LS,sot,Southern Sotho
LR,eng,English
LY,ara,Arabic
LI,deu,German
LT,lit,Lithuanian
LU,fra,French
LU,deu,German
LU,ltz,Luxembourgish
MO,zho,Chinese
MO,por,Portuguese
MK,mkd,Macedonian
MG,fra,French
MG,mlg,Malagasy
MW,eng,English
MW,nya,Chichewa
MY,zsm,Malaysian
MV,div,Divehi
ML,fra,French
MT,mlt,Maltese
MT,eng,English
MH,eng,English
MH,mah,Marshallese
MQ,fra,French
MR,ara,Arabic
MU,eng,English
YT,fra,French
MX,spa,Spanish
FM,eng,English
MD,ron,Romanian
MC,fra,French
MN,mon,Mongolian
ME,srp,Serbian
ME,bos,Bosnian
ME,sqi,Albanian
ME,hrv,Croatian
MS,eng,English
MA,ara,Arabic
MZ,por,Portuguese
MM,mya,Burmese
NA,eng,English
NA,afr,Afrikaans
NR,eng,English
NR,nau,Nauruan
NP,nep,Nepali
NL,nld,Dutch
NC,fra,French
NZ,eng,English
NZ,mri,Māori
NI,spa,Spanish
NE,fra,French
NG,eng,English
NU,eng,English
NF,eng,English
KP,kor,Korean
MP,eng,English
MP,cha,Chamorro
NO,nor,Norwegian
NO,nob,Norwegian Bokmål
NO,nno,Norwegian Nynorsk
OM,ara,Arabic
PK,eng,English
PK,urd,Urdu
PW,eng,English
PS,ara,Arabic
PA,spa,Spanish
PG,eng,English
PY,spa,Spanish
PY,grn,Guaraní
PE,spa,Spanish
PH,eng,English
PN,eng,English
PL,pol,Polish
PT,por,Portuguese
PR,spa,Spanish
PR,eng,English
QA,ara,Arabic
XK,sqi,Albanian
XK,srp,Serbian
RE,fra,French
RO,ron,Romanian
RU,rus,Russian
RW,kin,Kinyarwanda
RW,eng,English
RW,fra,French
BL,fra,French
SH,eng,English
KN,eng,English
LC,eng,English
MF,eng,English
MF,fra,French
MF,nld,Dutch
PM,fra,French
VC,eng,English
WS,smo,Samoan
WS,eng,English
SM,ita,Italian
ST,por,Portuguese
SA,ara,Arabic
SN,fra,French
RS,srp,Serbian
SC,fra,French
SC,eng,English
SL,eng,English
SG,eng,English
SG,msa,Malay
SG,tam,Tamil
SG,zho,Chinese
SX,nld,Dutch
SX,eng,English
SK,slk,Slovak
SI,slv,Slovene
SB,eng,English
SO,som,Somali
SO,ara,Arabic
ZA,afr,Afrikaans
ZA,eng,English
ZA,nbl,Southern Ndebele
ZA,sot,Southern Sotho
ZA,ssw,Swati
ZA,tsn,Tswana
ZA,tso,Tsonga
ZA,ven,Venda
ZA,xho,Xhosa
ZA,zul,Zulu
GS,eng,English
KR,kor,Korean
SS,eng,English
ES,spa,Spanish
LK,sin,Sinhalese
LK,tam,Tamil
SD,ara,Arabic
SD,eng,English
SR,nld,Dutch
SJ,nor,Norwegian
SZ,eng,English
SZ,ssw,Swati
SE,swe,Swedish
CH,deu,German
CH,fra,French
CH,ita,Italian
SY,ara,Arabic
TW,zho,Chinese
TJ,tgk,Tajik
TJ,rus,Russian
TZ,swa,Swahili
TZ,eng,English
TH,tha,Thai
TL,por,Portuguese
TG,fra,French
TK,eng,English
TO,eng,English
TO,ton,Tonga (Tonga Islands)
TT,eng,English
TN,ara,Arabic
TR,tur,Turkish
TM,tuk,Turkmen
TM,rus,Russian
TC,eng,English
TV,eng,English
UG,eng,English
UG,swa,Swahili
UA,ukr,Ukrainian
AE,ara,Arabic
GB,eng,English
US,eng,English
UY,spa,Spanish
UZ,uzb,Uzbek
UZ,rus,Russian
VU,bis,Bislama
VU,eng,English
VU,fra,French
VE,spa,Spanish
VN,vie,Vietnamese
WF,fra,French
EH,spa,Spanish
YE,ara,Arabic
ZM,eng,English
ZW,eng,English
ZW,sna,Shona
ZW,nde,Northern Ndebele
